potential,current
 5.170E-0001,-1.80117E-0005
 5.180E-0001,-1.79140E-0005
 5.190E-0001,-1.78469E-0005
 5.200E-0001,-1.77737E-0005
 5.210E-0001,-1.77004E-0005
 5.220E-0001,-1.76211E-0005
 5.230E-0001,-1.75631E-0005
 5.240E-0001,-1.74929E-0005
 5.250E-0001,-1.74196E-0005
 5.260E-0001,-1.73586E-0005
 5.270E-0001,-1.72732E-0005
 5.280E-0001,-1.72060E-0005
 5.290E-0001,-1.71480E-0005
 5.300E-0001,-1.70901E-0005
 5.310E-0001,-1.70290E-0005
 5.320E-0001,-1.69466E-0005
 5.330E-0001,-1.68947E-0005
 5.340E-0001,-1.68276E-0005
 5.350E-0001,-1.67757E-0005
 5.360E-0001,-1.67116E-0005
 5.370E-0001,-1.66659E-0005
 5.380E-0001,-1.65865E-0005
 5.390E-0001,-1.65285E-0005
 5.400E-0001,-1.64736E-0005
 5.410E-0001,-1.64187E-0005
 5.420E-0001,-1.63637E-0005
 5.430E-0001,-1.63241E-0005
 5.440E-0001,-1.62600E-0005
 5.450E-0001,-1.62050E-0005
 5.460E-0001,-1.61562E-0005
 5.470E-0001,-1.61074E-0005
 5.480E-0001,-1.60585E-0005
 5.490E-0001,-1.59975E-0005
 5.500E-0001,-1.59548E-0005
 5.510E-0001,-1.59243E-0005
 5.520E-0001,-1.58388E-0005
 5.530E-0001,-1.58144E-0005
 5.540E-0001,-1.57656E-0005
 5.550E-0001,-1.57045E-0005
 5.560E-0001,-1.56618E-0005
 5.570E-0001,-1.56404E-0005
 5.580E-0001,-1.56130E-0005
 5.590E-0001,-1.55611E-0005
 5.600E-0001,-1.55214E-0005
 5.610E-0001,-1.54665E-0005
 5.620E-0001,-1.54360E-0005
 5.630E-0001,-1.53810E-0005
 5.640E-0001,-1.53383E-0005
 5.650E-0001,-1.53017E-0005
 5.660E-0001,-1.52468E-0005
 5.670E-0001,-1.52193E-0005
 5.680E-0001,-1.51857E-0005
 5.690E-0001,-1.51003E-0005
 5.700E-0001,-1.50881E-0005
 5.710E-0001,-1.50576E-0005
 5.720E-0001,-1.50270E-0005
 5.730E-0001,-1.49782E-0005
 5.740E-0001,-1.49446E-0005
 5.750E-0001,-1.49355E-0005
 5.760E-0001,-1.48805E-0005
 5.770E-0001,-1.48592E-0005
 5.780E-0001,-1.47951E-0005
 5.790E-0001,-1.47707E-0005
 5.800E-0001,-1.47158E-0005
 5.810E-0001,-1.47096E-0005
 5.820E-0001,-1.46791E-0005
 5.830E-0001,-1.46242E-0005
 5.840E-0001,-1.46059E-0005
 5.850E-0001,-1.45815E-0005
 5.860E-0001,-1.45326E-0005
 5.870E-0001,-1.45387E-0005
 5.880E-0001,-1.44869E-0005
 5.890E-0001,-1.44655E-0005
 5.900E-0001,-1.44289E-0005
 5.910E-0001,-1.43923E-0005
 5.920E-0001,-1.43495E-0005
 5.930E-0001,-1.43495E-0005
 5.940E-0001,-1.43404E-0005
 5.950E-0001,-1.42885E-0005
 5.960E-0001,-1.42641E-0005
 5.970E-0001,-1.42305E-0005
 5.980E-0001,-1.42153E-0005
 5.990E-0001,-1.41725E-0005
 6.000E-0001,-1.41390E-0005
 6.010E-0001,-1.41176E-0005
 6.020E-0001,-1.41145E-0005
 6.030E-0001,-1.40627E-0005
 6.040E-0001,-1.40260E-0005
 6.050E-0001,-1.40077E-0005
 6.060E-0001,-1.39650E-0005
 6.070E-0001,-1.39589E-0005
 6.080E-0001,-1.39467E-0005
 6.090E-0001,-1.39131E-0005
 6.100E-0001,-1.39192E-0005
 6.110E-0001,-1.38979E-0005
 6.120E-0001,-1.38643E-0005
 6.130E-0001,-1.38490E-0005
 6.140E-0001,-1.38185E-0005
 6.150E-0001,-1.37941E-0005
 6.160E-0001,-1.37819E-0005
 6.170E-0001,-1.37422E-0005
 6.180E-0001,-1.37209E-0005
 6.190E-0001,-1.37087E-0005
 6.200E-0001,-1.36842E-0005
 6.210E-0001,-1.36629E-0005
 6.220E-0001,-1.36415E-0005
 6.230E-0001,-1.36171E-0005
 6.240E-0001,-1.35866E-0005
 6.250E-0001,-1.35744E-0005
 6.260E-0001,-1.35683E-0005
 6.270E-0001,-1.35439E-0005
 6.280E-0001,-1.35133E-0005
 6.290E-0001,-1.34889E-0005
 6.300E-0001,-1.34645E-0005
 6.310E-0001,-1.34645E-0005
 6.320E-0001,-1.34462E-0005
